,tahun,provinsi,kota,kecamatan,kelurahan,usia,gender,total
193,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,05-09,Laki-laki,505
194,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,01-10,Laki-laki,499
195,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15-19,Laki-laki,518
196,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,20-24,Laki-laki,564
197,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,25-29,Laki-laki,493
198,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,30-34,Laki-laki,516
199,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,35-39,Laki-laki,672
200,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,40-44,Laki-laki,607
201,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,45-49,Laki-laki,538
202,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,50-54,Laki-laki,543
203,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,55-59,Laki-laki,485
204,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,60-64,Laki-laki,389
205,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,65-69,Laki-laki,326
206,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,70-74,Laki-laki,259
207,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,75+,Laki-laki,224
208,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,00-04,Laki-laki,1054
209,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,05-09,Laki-laki,1307
210,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,01-10,Laki-laki,1334
211,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,15-19,Laki-laki,1250
212,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,20-24,Laki-laki,1182
213,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,25-29,Laki-laki,1144
214,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,30-34,Laki-laki,1260
215,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,35-39,Laki-laki,1464
216,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,40-44,Laki-laki,1363
